TIME(2019/11/15 14:58:56.021),TIMETICK(f=2143473),FPOGX,FPOGY,FPOGD,FPOGV,
0.00000,381660265251,0.35817,0.04925,0.00000,1,
0.01416,381660295771,0.35764,0.04593,0.01416,1,
0.03467,381660339158,0.35759,0.04131,0.03467,1,
0.04346,381660358134,0.35686,0.03697,0.04346,1,
0.06738,381660409653,0.35623,0.03357,0.06739,1,
0.07764,381660431015,0.35593,0.03305,0.07764,1,
0.09863,381660476783,0.35654,0.03267,0.09864,1,
0.12451,381660532180,0.35717,0.03315,0.12452,1,
0.12842,381660540610,0.35751,0.03293,0.12842,1,
0.14453,381660574774,0.35707,0.03253,0.14454,1,
0.16016,381660608589,0.35663,0.03170,0.16016,1,
0.17529,381660640469,0.35661,0.03241,0.17530,1,
0.19385,381660680723,0.35627,0.03188,0.19385,1,
0.22266,381660742400,0.35599,0.03197,0.22266,1,
0.23096,381660759706,0.35571,0.03337,0.23096,1,
0.25146,381660804160,0.35571,0.03420,0.25147,1,
0.26221,381660827291,0.35569,0.03446,0.26221,1,
0.27393,381660852357,0.35601,0.03467,0.27393,1,
0.29102,381660888702,0.35581,0.03286,0.29102,1,
0.30762,381660924840,0.35559,0.03084,0.30762,1,
0.32568,381660963458,0.35583,0.03025,0.32569,1,
0.34766,381661010556,0.35578,0.03019,0.34766,1,
0.35938,381661034860,0.35580,0.03108,0.35938,1,
0.39453,381661110379,0.35533,0.03523,0.39454,1,
0.40527,381661133428,0.34529,0.07534,0.39454,0,
0.41602,381661156331,0.30076,0.25597,0.39454,0,
0.42334,381661172442,0.24598,0.43195,0.39454,0,
0.43994,381661207937,0.19375,0.70085,0.39454,0,
0.45557,381661241003,0.18791,0.78718,0.39454,0,
0.47998,381661294220,0.19457,0.82053,0.39454,0,
0.48828,381661311838,0.19823,0.88179,0.39454,0,
0.50391,381661344834,0.20035,0.88169,0.39454,0,
0.52002,381661379351,0.19690,0.86534,0.39454,0,
0.54346,381661429617,0.20042,0.86317,0.05518,1,
0.55322,381661451001,0.20210,0.86121,0.06494,1,
0.56982,381661486538,0.19872,0.86334,0.08154,1,
0.58984,381661528891,0.19695,0.86168,0.10156,1,
0.60547,381661562586,0.19590,0.86083,0.11719,1,
0.61914,381661591950,0.19454,0.86001,0.13086,1,
0.63721,381661630834,0.19547,0.85998,0.14893,1,
0.65479,381661668230,0.19644,0.86026,0.16650,1,
0.67627,381661714214,0.19794,0.85962,0.18799,1,
0.68945,381661743212,0.19564,0.85835,0.20117,1,
0.70166,381661769379,0.19373,0.85738,0.21338,1,
0.71875,381661805668,0.19480,0.85936,0.23047,1,
0.73340,381661837321,0.19295,0.86129,0.24512,1,
0.75000,381661872201,0.19132,0.86299,0.26172,1,
0.77002,381661915261,0.19073,0.86479,0.28174,1,
0.78418,381661945342,0.19022,0.86651,0.29590,1,
0.80273,381661986153,0.18977,0.86806,0.31445,1,
0.82275,381662028774,0.18847,0.86948,0.33447,1,
0.83252,381662049491,0.18760,0.87084,0.34424,1,
0.85059,381662088031,0.18704,0.87239,0.36230,1,
0.87061,381662130777,0.18675,0.87507,0.38232,1,
0.88232,381662156573,0.18588,0.87764,0.39404,1,
0.90332,381662201680,0.17526,0.90660,0.39404,0,
0.91504,381662226395,0.17224,0.91302,0.39404,0,
0.93066,381662259966,0.17933,0.91995,0.39404,0,
0.94824,381662297552,0.18113,0.92140,0.04492,1,
0.96387,381662331043,0.17570,0.91852,0.06055,1,
0.99268,381662393178,0.17258,0.91645,0.08936,1,
1.02881,381662469705,0.17047,0.91516,0.12549,1,
1.04785,381662510637,0.16535,0.91370,0.14453,1,
1.05566,381662527709,0.16434,0.91304,0.15234,1,
1.06445,381662546421,0.16317,0.91585,0.16113,1,
1.08105,381662581758,0.16222,0.91621,0.17773,1,
1.10059,381662624497,0.16101,0.91609,0.19727,1,
1.11230,381662649235,0.16059,0.91510,0.20898,1,
1.12891,381662684950,0.15973,0.91457,0.22559,1,
1.14502,381662719650,0.15898,0.91411,0.24170,1,
1.16113,381662753518,0.15877,0.91429,0.25781,1,
1.17822,381662790548,0.15849,0.91400,0.27490,1,
1.20117,381662839682,0.15836,0.91387,0.29785,1,
1.21045,381662859368,0.15889,0.91363,0.30713,1,
1.23145,381662904762,0.16004,0.91347,0.32813,1,
1.24463,381662932365,0.16109,0.91332,0.34131,1,
1.25977,381662965251,0.16187,0.91433,0.35645,1,
1.27881,381663006034,0.16165,0.91396,0.37549,1,
1.29199,381663034724,0.16137,0.91351,0.38867,1,
1.31885,381663092372,0.16138,0.91282,0.41553,1,
1.33252,381663120825,0.16052,0.91241,0.42920,1,
1.34863,381663155576,0.15974,0.91209,0.44531,1,
1.36670,381663194100,0.15926,0.91195,0.46338,1,
1.38770,381663240000,0.15939,0.91226,0.48438,1,
1.39404,381663253067,0.15958,0.91260,0.49072,1,
1.40869,381663284154,0.15959,0.91321,0.50537,1,
1.42627,381663322249,0.15949,0.91370,0.52295,1,
1.44727,381663366745,0.15939,0.91414,0.54395,1,
1.45801,381663390497,0.15911,0.91399,0.55469,1,
1.48145,381663440240,0.15960,0.91331,0.57813,1,
1.49756,381663474905,0.16006,0.91267,0.59424,1,
1.54639,381663579225,0.15960,0.91211,0.64307,1,
1.55078,381663589157,0.15873,0.91238,0.64746,1,
1.55908,381663607187,0.15786,0.91261,0.65576,1,
1.57813,381663647686,0.15799,0.91290,0.67480,1,
1.58203,381663655516,0.15760,0.91281,0.67871,1,
1.58984,381663673020,0.15730,0.91278,0.68652,1,
1.60547,381663706702,0.15675,0.91321,0.70215,1,
1.62207,381663741905,0.15657,0.91350,0.71875,1,
