Seq, fpogx, fpogy, fpogd, s
1,0.59718,0.48638,2,6
1,0.32317,0.59583,0,3
1,0.30393,0.67438,0,4
1,0.22462,0.95393,2,6
1,0.16733,0.52581,1,3
1,0.10997,0.47008,1,2
1,0.07745,0.39224,0,6
1,0.08655,0.41119,0,2
1,0.08665,0.34128,1,1
2,0.10984,0.24724,0,6
2,0.10026,0.2105,1,0
2,0.08594,0.33772,1,1
2,0.1176,0.47236,1,2
2,0.07552,0.61186,2,3
2,0.06327,0.72263,2,4
2,0.08302,0.75538,0,6
2,0.07562,0.63799,2,4
2,0.07844,0.51828,1,3
2,0.11996,0.4254,2,2
2,0.11406,0.29045,0,1
2,0.11662,0.28387,0,6
2,0.11074,0.32134,0,1
2,0.09472,0.5105,0,3
2,0.17466,0.45447,2,2
2,0.81464,0.89799,2,5
2,0.11793,0.36779,1,1
2,0.09889,0.44016,2,2
3,0.12467,0.2421,0,0
3,0.14161,0.28195,1,6
3,0.14588,0.36467,1,1
3,0.09496,0.48125,0,2
3,0.09781,0.53741,2,3
3,0.09474,0.62823,0,4
3,0.08841,0.6279,0,4
3,0.07933,0.62282,1,3
3,0.09602,0.63045,2,4
3,0.10971,0.51292,2,3
3,0.1178,0.42191,2,2
3,0.08683,0.73825,2,4
3,0.07942,0.75135,0,6
3,0.09187,0.72656,2,4
3,0.09476,0.74341,0,6
3,0.11043,0.63721,2,4
3,0.11264,0.55561,2,3
3,0.11253,0.46096,2,2
3,0.14476,0.51406,0,3
3,0.13327,0.48791,2,2
3,0.17556,0.54845,0,3
3,0.80859,0.90649,1,5
3,0.16184,0.52191,0,3
3,0.12489,0.4093,1,2
3,0.1265,0.36048,0,1
3,0.12258,0.28023,0,6
3,0.12447,0.31301,1,1
3,0.09643,0.43474,2,2
4,0.10519,0.62221,2,3
4,0.10028,0.62874,1,4
4,0.102,0.60923,0,3
4,0.13533,0.49418,2,2
4,0.09252,0.64019,2,4
4,0.10462,0.57847,2,3
4,0.11303,0.65209,1,4
4,0.82917,0.89216,1,5
4,0.11955,0.43859,2,2
4,0.09691,0.38157,0,1
4,0.08715,0.40107,1,2
5,0.09341,0.36791,0,1
5,0.12017,0.23543,0,0
5,0.11917,0.25749,0,6
5,0.15508,0.28763,0,1
5,0.17403,0.26784,1,6
5,0.16459,0.23674,0,0
5,0.1651,0.25037,2,6
5,0.16923,0.22786,1,0
5,0.0706,0.42381,1,2
5,0.0918,0.53127,2,3
5,0.77509,0.85998,0,6
5,0.83148,0.87311,1,5
5,0.11424,0.62919,1,4
5,0.11844,0.6048,1,3
5,0.21189,0.2608,2,6
6,0.21965,0.22027,1,0
6,0.17135,0.28785,2,1
6,0.15617,0.28037,2,6
6,0.17651,0.29041,0,1
6,0.28043,0.2817,1,6
6,0.29429,0.2842,0,6
6,0.39099,0.29276,1,1
6,0.25744,0.22947,1,0
6,0.39624,0.27738,2,6
6,0.40144,0.28834,0,1
6,0.40471,0.26977,1,6
6,0.06949,0.4993,2,2
6,0.08457,0.60679,1,3
6,0.0916,0.63847,1,4
6,0.10382,0.42996,2,2
6,0.08968,0.70254,1,4
6,0.82956,0.92175,2,5
6,0.19046,0.27919,2,6
7,0.18271,0.30478,0,1
7,0.12101,0.46798,2,2
7,0.10502,0.5448,1,3
7,0.10492,0.69964,2,4
7,0.12431,0.4359,1,2
7,0.78775,0.91101,1,5
7,0.16248,0.28112,0,6
7,0.12967,0.28091,2,6
7,0.11525,0.44441,2,2
7,0.09529,0.53686,2,3
7,0.10483,0.6256,1,4
7,0.10403,0.62399,0,3
7,0.1095,0.66182,2,4
7,0.116,0.42319,2,2
8,0.12422,0.08567,2,6
8,0.17703,0.23899,0,0
8,0.21405,0.27085,1,6
8,0.34199,0.28865,1,1
8,0.34221,0.27435,0,6
8,0.31593,0.23632,0,0
8,0.25329,0.27692,0,6
8,0.11135,0.39604,2,2
8,0.2047,0.30169,1,1
8,0.2903,0.2091,1,0
8,0.05563,0.61155,2,3
8,0.07898,0.71643,1,4
8,0.087,0.74304,0,6
8,0.06198,0.62779,2,4
8,0.05737,0.62282,0,3
8,0.08786,0.44427,2,2
8,0.17179,0.60037,0,3
8,0.28237,0.64383,0,4
8,0.83167,0.8764,2,5
8,0.11829,0.50743,0,2
8,0.10901,0.5287,1,3
8,0.06629,0.67141,2,4
8,0.1122,0.31675,0,1
8,0.10273,0.22368,0,0
9,0.14335,0.2705,1,6
9,0.17293,0.29322,1,1
9,0.16309,0.26802,0,6
9,0.13799,0.24257,1,0
9,0.14143,0.25303,0,6
9,0.11902,0.21089,0,0
9,0.08305,0.44608,1,2
9,0.03667,0.17853,0,0
9,0.0082,0.03972,1,6
9,0.0945,0.50085,0,2
9,0.09018,0.58714,0,3
9,0.08624,0.64762,1,4
9,0.09442,0.58602,0,3
9,0.1107,0.30919,2,1
9,0.09731,0.27804,0,6
9,0.16785,0.28908,2,1
9,0.29249,0.27954,2,6
9,0.09671,0.48517,1,2
9,0.08979,0.57099,2,3
9,0.081,0.70725,2,4
9,0.10191,0.44575,2,2
9,0.08332,0.60335,1,3
9,0.10115,0.63783,2,4
9,0.08936,0.63201,2,4
9,0.79089,0.88157,1,5
9,0.08383,0.70389,2,4
9,0.0896,0.54822,2,3
9,0.10155,0.30017,0,1
10,0.11253,0.28466,0,6
10,0.11736,0.28865,0,1
10,0.12873,0.27858,2,6
10,0.14755,0.2988,2,1
10,0.22429,0.26964,1,6
10,0.14857,0.37225,1,1
10,0.12058,0.5065,2,2
10,0.10089,0.62181,1,3
10,0.10608,0.62682,2,4
10,0.14164,0.5272,2,3
10,0.15467,0.50609,0,2
10,0.15548,0.4477,2,2
10,0.09846,0.62064,2,3
10,0.11482,0.69629,2,4
10,0.09243,0.62035,0,3
10,0.09266,0.62632,0,4
10,0.10939,0.52558,2,3
10,0.17588,0.28369,0,6
10,0.1751,0.28664,0,1
10,0.14388,0.14653,0,0
10,0.17724,0.22491,0,0
10,0.18483,0.27751,0,6
10,0.15434,0.2814,0,6
10,0.14497,0.28813,2,1
10,0.22072,0.24839,1,6
10,0.22926,0.24431,0,0
10,0.22124,0.26219,1,6
10,0.1107,0.44203,1,2
10,0.13969,0.22414,1,0
10,0.14403,0.39914,2,2
10,0.12626,0.38974,0,1
10,0.14077,0.43462,2,2
10,0.08672,0.6217,2,3
10,0.07736,0.71881,2,4
10,0.08819,0.74165,1,6
10,0.12024,0.7185,2,4
10,0.15901,0.51707,0,3
10,0.15075,0.46732,1,2
10,0.14769,0.29444,1,1
10,0.14753,0.28441,0,6
10,0.14469,0.28485,0,6
10,0.14822,0.298,2,1
10,0.07731,0.62694,0,4
10,0.08367,0.6236,0,3
10,0.09007,0.72069,2,4
10,0.84088,0.86812,1,5
10,0.10387,0.60514,2,3
10,0.18174,0.24206,0,0
10,0.18286,0.25977,2,6
10,0.11746,0.46569,1,2
10,0.10105,0.63065,0,4
10,0.08567,0.62348,2,3
10,0.08034,0.62537,2,4
10,0.08567,0.6186,2,3
10,0.12871,0.62702,1,4
10,0.12389,0.62064,1,3
10,0.11045,0.70256,2,4
11,0.13239,0.29226,0,1
11,0.11669,0.28248,1,6
11,0.1969,0.29111,1,1
11,0.26857,0.25653,2,6
11,0.22831,0.36723,1,1
11,0.08585,0.44893,2,2
11,0.11478,0.65973,2,4
11,0.09604,0.7463,0,6
11,0.15684,0.71825,2,4
11,0.80631,0.90033,1,5
11,0.07905,0.39444,0,2
11,0.08023,0.39051,0,1
11,0.08385,0.3958,2,2
11,0.07955,0.39231,0,6
11,0.08247,0.40116,2,2
12,0.16281,0.29246,1,1
12,0.26067,0.28114,2,6
12,0.25046,0.32422,1,1
12,0.0949,0.5015,0,2
12,0.09046,0.51595,1,3
12,0.08602,0.50207,2,2
12,0.09548,0.61698,1,3
12,0.09928,0.63111,1,4
12,0.10128,0.61358,0,3
12,0.0955,0.49869,2,2
12,0.10057,0.54595,1,3
12,0.783,0.87133,0,5
12,0.77449,0.87803,1,6
12,0.11205,0.40597,1,2
12,0.12742,0.31215,0,1
12,0.08411,0.16594,0,0
13,0.21852,0.3119,1,1
13,0.16603,0.38253,1,1
13,0.08786,0.45006,2,2
13,0.11125,0.52975,1,3
13,0.09564,0.46038,1,2
13,0.06266,0.61918,1,3
13,0.07651,0.73401,2,4
13,0.0758,0.7425,0,6
13,0.28043,0.68687,1,4
13,0.8277,0.90243,2,5
13,0.09106,0.41639,2,2
14,0.1196,0.2378,0,0
14,0.12889,0.26323,1,6
14,0.13445,0.38129,1,1
14,0.12665,0.44176,2,2
14,0.10704,0.57837,2,3
14,0.08207,0.63487,1,4
14,0.09807,0.52826,1,3
14,0.11423,0.41841,2,2
14,0.10584,0.62337,2,3
14,0.10651,0.6568,2,4
14,0.11812,0.60267,2,3
14,0.10461,0.63242,1,4
14,0.08803,0.52042,0,3
14,0.11625,0.45635,2,2
14,0.10724,0.7208,2,4
14,0.81063,0.88148,1,5
14,0.11419,0.44597,2,2
15,0.13432,0.28101,1,6
15,0.27022,0.28729,1,1
15,0.27844,0.28334,0,6
15,0.23666,0.30969,0,1
15,0.103,0.50944,0,3
15,0.11261,0.48823,2,2
15,0.09406,0.61684,1,3
15,0.09221,0.70854,1,4
15,0.10454,0.522,2,3
15,0.12177,0.46136,1,2
15,0.82806,0.87613,2,5
15,0.17974,0.5158,0,3
15,0.09971,0.4192,2,2
16,0.11843,0.30225,2,1
16,0.20218,0.23608,2,0
16,0.18074,0.35082,1,1
16,0.0913,0.48164,1,2
16,0.15373,0.62209,2,3
16,0.14588,0.66229,1,4
16,0.09424,0.40657,1,2
16,0.11107,0.31583,2,1
17,0.1212,0.4255,2,2
17,0.10146,0.35973,0,1
17,0.10647,0.46806,1,2
17,0.09302,0.60105,2,3
17,0.11667,0.62665,0,4
17,0.10936,0.61279,2,3
17,0.11477,0.72465,2,4
17,0.11386,0.43066,2,2
18,0.10232,0.28917,1,1
18,0.10772,0.28434,0,6
18,0.11864,0.38428,1,1
18,0.09187,0.46235,1,2
18,0.08997,0.56251,2,3
18,0.09219,0.67431,1,4
18,0.11203,0.29442,0,1
18,0.1064,0.26706,0,6
18,0.09949,0.37087,0,1
18,0.09368,0.43212,0,2
18,0.08202,0.60806,0,3
18,0.1168,0.72071,1,4
