User,Time 1,Time 2,Time 3,Time 4,Time 5,Time 6,Time 7,Time 8,Time 9,Time 10,Time 11,Time 12,Time 13,Time 14,Time 15,Time 16,Time 17,Time 18,Time 19,Time 20,Time 21,Time 22,Time 23,Time 24,Time 25,Time 26,Time 27,Time 28,Time 29,Time 30,Time 31,Time 32,Time 33,Time 34
3,00:02:914,00:11:659,00:26:816,00:31:479,00:36:143,00:44:304,00:51:300,00:59:461,01:13:452,01:43:183,01:49:596,01:54:842,02:00:089,02:09:999,02:15:246,02:18:744,02:22:824,02:28:071,02:39:147,02:44:977,02:58:385,03:08:295,03:22:869,03:37:443,03:46:187,03:57:846,04:11:254,04:18:250,04:28:160,04:40:985,04:47:981,04:57:308,05:07:218,05:24:124
4,00:04:026,00:26:173,00:43:287,01:03:421,01:27:581,01:48:722,02:04:829,02:27:983,02:40:063,02:57:177,03:12:277,03:22:344,03:30:398,03:38:451,03:47:511,03:55:565,04:05:632,04:20:732,04:37:846,04:49:926,05:11:066,05:29:187,05:46:301,06:16:501,06:45:695,07:24:956,07:37:036,07:52:137,08:03:210,08:30:391,08:41:464,08:48:511,09:05:625,09:23:745
5,00:02:221,00:11:104,00:18:323,00:27:763,00:34:426,00:45:531,00:52:750,00:58:857,01:05:521,01:11:073,01:20:513,01:31:618,01:48:276,01:53:273,02:01:602,02:07:710,02:10:487,02:18:260,02:33:252,02:38:805,02:52:131,03:07:123,03:23:781,03:29:334,03:35:997,03:49:324,04:03:760,04:09:313,04:14:866,04:31:524,04:36:521,04:45:960,04:54:845,05:12:058
6,00:02:228,00:11:144,00:21:546,00:31:205,00:39:378,00:52:752,01:06:126,01:15:785,01:23:958,01:34:359,01:42:532,01:49:962,01:56:649,02:04:079,02:11:509,02:19:682,02:27:855,02:36:028,02:55:345,03:03:518,03:28:037,03:57:014,04:17:074,04:30:448,04:43:822,05:15:028,05:30:631,05:35:832,05:49:948,06:05:551,06:13:724,06:21:154,06:33:785,06:56:818
7,00:03:076,00:09:844,00:17:843,00:24:611,00:30:764,00:37:533,00:44:916,00:50:454,00:58:453,01:04:606,01:10:143,01:15:681,01:19:373,01:23:680,01:27:372,01:35:370,01:37:832,01:46:446,01:56:291,02:02:444,02:20:902,02:27:671,02:43:668,02:52:283,02:59:666,03:13:818,03:21:817,03:29:816,03:37:814,04:12:886,04:25:808,05:04:571,05:13:185,05:42:104
8,00:23:885,00:32:040,00:40:779,00:48:352,00:57:091,01:06:994,01:15:150,01:23:889,01:31:462,01:39:618,01:52:434,02:00:590,02:06:998,02:15:737,02:23:310,02:31:466,02:39:622,02:47:778,03:01:177,03:07:585,03:25:062,03:32:635,03:43:704,03:53:025,04:00:016,04:17:493,04:29:726,04:36:135,04:43:708,04:54:777,05:00:020,05:06:428,05:12:836,05:25:070
9,00:01:450,00:07:251,00:26:103,00:30:454,00:45:439,00:51:723,00:58:491,01:03:325,01:12:026,01:19:761,01:24:595,01:34:746,01:38:613,01:51:665,01:57:466,02:01:816,02:06:167,02:10:034,02:19:219,02:23:569,02:36:138,02:43:872,02:54:507,03:05:625,03:15:293,03:27:378,03:34:629,03:39:947,03:45:747,03:57:832,04:01:700,04:09:434,04:15:235,04:28:770
10,00:01:944,00:07:779,00:20:744,00:27:875,00:43:434,00:53:158,01:03:531,01:14:551,01:24:276,01:32:055,01:39:186,01:46:317,01:57:986,02:03:820,02:12:248,02:18:083,02:23:269,02:28:455,02:45:310,02:50:496,03:12:538,03:27:448,03:38:469,03:51:434,04:05:048,04:29:683,04:48:483,04:57:559,05:03:393,05:15:710,05:22:842,05:35:807,05:49:421,06:00:442
11,00:00:571,00:06:859,00:16:005,00:22:293,00:35:440,00:43:443,00:48:016,00:56:591,01:09:738,01:16:598,01:22:314,01:30:888,01:44:036,01:48:037,02:01:185,02:06:329,02:10:331,02:16:618,02:30:909,02:37:197,02:56:061,03:02:920,03:15:496,03:20:641,03:28:644,03:50:937,04:02:941,04:10:944,04:17:232,04:25:235,04:31:523,04:47:528,04:55:531,05:15:538
12,00:02:888,00:13:289,00:23:111,00:30:623,00:41:023,00:53:157,01:05:290,01:10:490,01:15:690,01:26:091,01:33:602,01:40:536,01:48:625,01:54:403,02:05:381,02:11:736,02:20:403,02:29:070,02:51:604,02:59:115,03:14:716,03:27:427,03:39:561,03:55:161,04:01:517,04:16:540,04:22:896,04:33:296,04:40:229,04:51:785,04:57:563,05:06:808,05:16:053,05:22:408
