TIME(2019/12/18 15:15:39.691),TIMETICK(f=2143482),FPOGX,FPOGY,FPOGD,FPOGV,
0.00000,5178731823390,0.45135,0.28985,0.00000,0,
0.01654,5178731858948,0.45743,0.28018,0.00000,0,
0.03406,5178731896405,0.46046,0.27527,0.03406,1,
0.04913,5178731928807,0.45729,0.29704,0.04913,1,
0.06567,5178731964143,0.45744,0.30590,0.06567,1,
0.08234,5178731999920,0.45755,0.31223,0.08234,1,
0.09839,5178732034371,0.45709,0.30780,0.09839,1,
0.11499,5178732069880,0.45671,0.30924,0.11499,1,
0.13129,5178732104857,0.45649,0.31091,0.13129,1,
0.14771,5178732140075,0.46823,0.31228,0.14771,1,
0.16559,5178732178344,0.47860,0.31732,0.16559,1,
0.18292,5178732215498,0.48734,0.32123,0.18292,1,
0.19916,5178732250311,0.49581,0.32045,0.19916,1,
0.21564,5178732285649,0.50366,0.31837,0.21564,1,
0.23108,5178732318689,0.51052,0.31717,0.23108,1,
0.24762,5178732354205,0.54126,0.33549,0.23108,0,
0.26392,5178732389169,0.56662,0.38561,0.23108,0,
0.27948,5178732422530,0.57506,0.40539,0.23108,0,
0.29578,5178732457453,0.59382,0.43661,0.23108,0,
0.31195,5178732492089,0.59535,0.43024,0.23108,0,
0.32880,5178732528159,0.59585,0.42811,0.23108,0,
0.34595,5178732564993,0.59611,0.42135,0.05017,1,
0.36169,5178732598670,0.59551,0.41687,0.06592,1,
0.37793,5178732633495,0.59510,0.41388,0.08215,1,
0.39429,5178732668544,0.59786,0.42086,0.09851,1,
0.41064,5178732703626,0.60086,0.42536,0.11487,1,
0.42731,5178732739302,0.60320,0.42886,0.13153,1,
0.44531,5178732777915,0.60476,0.42260,0.14954,1,
0.45984,5178732809109,0.60404,0.42372,0.16406,1,
0.47644,5178732844702,0.60345,0.42464,0.18066,1,
0.49292,5178732880006,0.60608,0.41973,0.19714,1,
0.50952,5178732915532,0.60604,0.41628,0.21375,1,
0.52582,5178732950496,0.60600,0.41328,0.23004,1,
0.54187,5178732984920,0.60486,0.41142,0.24609,1,
0.56171,5178733027380,0.60484,0.40976,0.26593,1,
0.57483,5178733055571,0.60482,0.40828,0.27905,1,
0.59155,5178733091369,0.60510,0.40812,0.29578,1,
0.60773,5178733126147,0.60503,0.40916,0.31195,1,
0.62445,5178733161881,0.60497,0.41010,0.32867,1,
0.64056,5178733196448,0.60583,0.40944,0.34479,1,
0.65814,5178733234198,0.60556,0.40988,0.36237,1,
0.67474,5178733269674,0.60532,0.40989,0.37897,1,
0.68988,5178733302141,0.61186,0.41387,0.39410,1,
0.70734,5178733339532,0.61776,0.41718,0.41156,1,
0.72284,5178733372850,0.62329,0.41993,0.42706,1,
0.73914,5178733407698,0.66267,0.43295,0.42706,0,
0.75635,5178733444645,0.72813,0.42306,0.42706,0,
0.77234,5178733478910,0.74937,0.42293,0.42706,0,
0.78888,5178733514361,0.77708,0.42840,0.42706,0,
0.80505,5178733549013,0.76218,0.45921,0.42706,0,
0.82147,5178733584291,0.75674,0.47246,0.42706,0,
0.83783,5178733619359,0.76327,0.46763,0.04895,1,
0.85413,5178733654195,0.76390,0.47071,0.06525,1,
0.87061,5178733689510,0.76432,0.47275,0.08173,1,
0.89148,5178733734325,0.76339,0.48173,0.10260,1,
0.90375,5178733760562,0.76251,0.48132,0.11487,1,
0.92010,5178733795631,0.76196,0.48052,0.13123,1,
0.93634,5178733830455,0.76551,0.47741,0.14746,1,
0.95282,5178733865817,0.76850,0.47472,0.16394,1,
0.96912,5178733900666,0.77103,0.47207,0.18024,1,
0.98560,5178733936012,0.77028,0.47149,0.19672,1,
1.00208,5178733971368,0.77036,0.47293,0.21320,1,
1.01923,5178734008125,0.77040,0.47449,0.23035,1,
1.03491,5178734041776,0.76844,0.47597,0.24603,1,
1.05151,5178734077290,0.76717,0.47870,0.26263,1,
1.06775,5178734112109,0.76620,0.48020,0.27887,1,
1.08429,5178734147545,0.76588,0.47926,0.29541,1,
1.10071,5178734182805,0.76635,0.47662,0.31183,1,
1.11792,5178734219713,0.76684,0.47380,0.32904,1,
1.13367,5178734253432,0.76874,0.46517,0.34479,1,
1.15002,5178734288512,0.77445,0.41693,0.34479,0,
1.16663,5178734324112,0.80237,0.21671,0.34479,0,
1.18286,5178734358841,0.80525,0.11683,0.34479,0,
1.19940,5178734394356,0.81386,-0.03977,0.34479,0,
1.21637,5178734430660,0.80466,-0.02569,0.34479,0,
1.23187,5178734463979,0.79849,0.00218,0.34479,0,
1.24835,5178734499229,0.79586,0.00522,0.04895,1,
1.26520,5178734535318,0.79429,0.00705,0.06580,1,
1.28143,5178734570129,0.79275,0.01681,0.08203,1,
1.29791,5178734605528,0.79114,0.01507,0.09851,1,
1.31439,5178734640784,0.79008,0.01302,0.11499,1,
1.33240,5178734679403,0.79015,0.01182,0.13300,1,
1.34692,5178734710512,0.78989,0.00946,0.14752,1,
1.36377,5178734746594,0.78980,0.00642,0.16437,1,
1.37982,5178734781072,0.78785,0.00696,0.18042,1,
1.39655,5178734816870,0.78688,0.00864,0.19714,1,
1.41309,5178734852335,0.78606,0.01008,0.21368,1,
1.42993,5178734888528,0.78756,0.00997,0.23053,1,
1.44586,5178734922638,0.78849,0.01031,0.24646,1,
1.46204,5178734957233,0.78915,0.01166,0.26263,1,
1.47864,5178734992928,0.78885,0.01081,0.27924,1,
1.49524,5178735028421,0.78804,0.01312,0.29584,1,
1.51154,5178735063325,0.78735,0.01518,0.31213,1,
1.52783,5178735098296,0.78695,0.01609,0.32843,1,
1.54492,5178735134891,0.78725,0.01483,0.34552,1,
1.56085,5178735169086,0.78755,0.01307,0.36145,1,
1.57690,5178735203440,0.78798,0.01149,0.37750,1,
