TIME,TIMETICK,FPOGX,FPOGY,FPOGD,FPOGV,
0.00000,5185103292678,0.34773,0.04136,0.00000,1,
0.01612,5185103327250,0.34810,0.03458,0.01611,1,
0.03271,5185103362819,0.34787,0.02953,0.03270,1,
0.04945,5185103398674,0.34797,0.02759,0.04943,1,
0.06557,5185103433232,0.35017,0.03339,0.06555,1,
0.08492,5185103474701,0.35184,0.03956,0.08490,1,
0.09862,5185103504074,0.35352,0.04678,0.09861,1,
0.11515,5185103539492,0.35517,0.05444,0.11513,1,
0.13142,5185103574413,0.35622,0.05925,0.13142,1,
0.14783,5185103609550,0.35702,0.06269,0.14781,1,
0.16399,5185103644196,0.35774,0.06883,0.16397,1,
0.18053,5185103679642,0.35799,0.07159,0.18051,1,
0.19691,5185103714778,0.35815,0.07368,0.19690,1,
0.21367,5185103750686,0.35764,0.07608,0.21366,1,
0.23009,5185103785872,0.36509,0.11061,0.21366,0,
0.24641,5185103820890,0.36612,0.10832,0.21366,0,
0.26284,5185103856074,0.37028,0.10203,0.21366,0,
0.27914,5185103891018,0.37048,0.09802,0.04905,1,
0.29578,5185103926714,0.37124,0.10017,0.06570,1,
0.31226,5185103962039,0.36633,0.13531,0.08218,1,
0.32888,5185103997620,0.36456,0.16260,0.09879,1,
0.34494,5185104032045,0.36360,0.18501,0.11485,1,
0.36124,5185104067002,0.36410,0.20242,0.13115,1,
0.37761,5185104102098,0.36403,0.21670,0.14752,1,
0.39434,5185104137932,0.36342,0.22530,0.16425,1,
0.41127,5185104174231,0.36272,0.23302,0.18118,1,
0.42707,5185104208113,0.35979,0.23619,0.19698,1,
0.44333,5185104242952,0.35719,0.23855,0.21324,1,
0.45975,5185104278175,0.35238,0.27666,0.21324,0,
0.47644,5185104313938,0.34619,0.29417,0.21324,0,
0.49269,5185104348758,0.34412,0.29960,0.21324,0,
0.50922,5185104384212,0.34215,0.29520,0.04947,1,
0.52584,5185104419829,0.34067,0.28359,0.06609,1,
0.54192,5185104454312,0.33868,0.27032,0.08218,1,
0.55858,5185104489988,0.33437,0.26300,0.09882,1,
0.57510,5185104525434,0.33072,0.25743,0.11536,1,
0.59129,5185104560099,0.32824,0.25493,0.13153,1,
0.60773,5185104595351,0.32680,0.25046,0.14797,1,
0.62413,5185104630499,0.32764,0.25087,0.16438,1,
0.64043,5185104665472,0.32859,0.25258,0.18069,1,
0.65794,5185104702976,0.32948,0.25171,0.19819,1,
0.67340,5185104736102,0.33198,0.25020,0.21364,1,
0.68975,5185104771153,0.33397,0.24778,0.23000,1,
0.70631,5185104806684,0.33428,0.24637,0.24657,1,
0.72295,5185104842337,0.33372,0.24296,0.26320,1,
0.73935,5185104877473,0.33329,0.24028,0.27959,1,
0.75541,5185104911890,0.33299,0.23949,0.29565,1,
0.77228,5185104948060,0.33503,0.24035,0.31252,1,
0.78888,5185104983643,0.33696,0.24157,0.32912,1,
0.80492,5185105018026,0.33799,0.24264,0.34517,1,
0.82124,5185105053002,0.33881,0.24437,0.36148,1,
0.83793,5185105088782,0.33973,0.24691,0.37817,1,
0.85424,5185105123723,0.34114,0.25021,0.39448,1,
0.87241,5185105162705,0.34430,0.25342,0.41267,1,
0.88715,5185105194291,0.34717,0.25597,0.42740,1,
0.90348,5185105229293,0.37330,0.27355,0.42740,0,
0.91985,5185105264371,0.41160,0.28590,0.42740,0,
0.93650,5185105300060,0.42329,0.27944,0.42740,0,
0.95272,5185105334828,0.42443,0.28251,0.04924,1,
0.97068,5185105373330,0.42865,0.28500,0.06720,1,
0.98566,5185105405458,0.43147,0.28684,0.08219,1,
1.00207,5185105440611,0.43277,0.28748,0.09859,1,
1.01865,5185105476141,0.43437,0.28818,0.11517,1,
1.03485,5185105510860,0.43585,0.29111,0.13136,1,
1.05138,5185105546294,0.43664,0.29405,0.14790,1,
1.06773,5185105581338,0.43684,0.30121,0.16425,1,
1.08572,5185105619912,0.43701,0.30719,0.18224,1,
1.10077,5185105652165,0.43758,0.31172,0.19729,1,
1.11721,5185105687411,0.43724,0.31708,0.21373,1,
1.13372,5185105722807,0.43699,0.32201,0.23024,1,
1.14988,5185105757433,0.43820,0.32552,0.24640,1,
1.16666,5185105793417,0.43775,0.32768,0.26318,1,
1.18267,5185105827713,0.43729,0.32905,0.27918,1,
1.19928,5185105863325,0.43840,0.32922,0.29580,1,
1.21566,5185105898437,0.43968,0.35761,0.29580,0,
1.23201,5185105933484,0.43059,0.34957,0.29580,0,
1.25098,5185105974169,0.43474,0.35056,0.29580,0,
1.26498,5185106004146,0.43137,0.34507,0.04932,1,
1.28144,5185106039434,0.42960,0.34374,0.06578,1,
1.30177,5185106083000,0.42981,0.34677,0.08611,1,
1.31438,5185106110032,0.43079,0.34535,0.09872,1,
1.33056,5185106144718,0.43152,0.34429,0.11490,1,
1.34716,5185106180283,0.43352,0.34388,0.13149,1,
1.36345,5185106215228,0.43591,0.34330,0.14779,1,
1.37988,5185106250424,0.43787,0.34282,0.16422,1,
1.39657,5185106286205,0.43720,0.33851,0.18091,1,
1.42945,5185106356691,0.43888,0.33789,0.21379,1,
1.44556,5185106391244,0.43983,0.33534,0.22991,1,
1.46220,5185106426917,0.43805,0.33182,0.24655,1,
1.47839,5185106461617,0.43635,0.32781,0.26274,1,
1.49506,5185106497339,0.43664,0.32506,0.27940,1,
1.51211,5185106533871,0.43677,0.32251,0.29645,1,
1.52769,5185106567271,0.43694,0.32079,0.31203,1,
1.54453,5185106603358,0.43685,0.31898,0.32887,1,
1.56071,5185106638062,0.43395,0.31669,0.34505,1,
1.57693,5185106672814,0.42566,0.29112,0.34505,0,
1.59322,5185106707752,0.24471,0.25948,0.34505,0,
1.61001,5185106743708,0.19436,0.28273,0.34505,0,
1.62648,5185106779030,0.08837,0.30753,0.34505,0,
1.64289,5185106814192,0.10687,0.32234,0.34505,0,
1.65929,5185106849351,0.11295,0.32171,0.34505,0,
1.67580,5185106884745,0.11588,0.32111,0.04932,1,
1.69199,5185106919446,0.11086,0.32679,0.06551,1,
1.70871,5185106955283,0.11074,0.33372,0.08223,1,
1.72506,5185106990322,0.10997,0.33693,0.09858,1,
1.74162,5185107025809,0.10662,0.32219,0.11514,1,
1.75792,5185107060765,0.10075,0.30315,0.13144,1,
1.77433,5185107095937,0.09483,0.28455,0.14785,1,
1.79082,5185107131284,0.09147,0.26811,0.16434,1,
1.80723,5185107166453,0.08778,0.25947,0.18075,1,
1.82342,5185107201149,0.08458,0.25194,0.19694,1,
1.84169,5185107240318,0.08315,0.24402,0.21521,1,
1.85622,5185107271452,0.08138,0.23264,0.22974,1,
1.87289,5185107307185,0.06804,0.19057,0.22974,0,
1.88919,5185107342121,0.06252,0.16484,0.22974,0,
1.90581,5185107377748,0.06018,0.17292,0.22974,0,
1.92220,5185107412891,0.06326,0.18868,0.04931,1,
1.93822,5185107447240,0.07112,0.20202,0.06534,1,
1.95550,5185107484267,0.07550,0.21542,0.08261,1,
1.97166,5185107518908,0.08008,0.22894,0.09877,1,
1.98778,5185107553460,0.08724,0.24132,0.11489,1,
2.00445,5185107589188,0.09225,0.25030,0.13156,1,
2.02073,5185107624084,0.09626,0.25748,0.14784,1,
2.03704,5185107659030,0.09761,0.26231,0.16415,1,
2.05328,5185107693892,0.10018,0.26440,0.18040,1,
2.07004,5185107729775,0.10091,0.26195,0.19715,1,
2.08638,5185107764803,0.09955,0.25809,0.21349,1,
2.10502,5185107804759,0.09971,0.24864,0.23213,1,
2.12080,5185107838612,0.09909,0.23796,0.24792,1,
2.13774,5185107874904,0.09979,0.22976,0.26485,1,
2.15420,5185107910171,0.10027,0.22237,0.28131,1,
2.16896,5185107941823,0.10096,0.21663,0.29607,1,
2.18468,5185107975521,0.10175,0.21173,0.31180,1,
2.20144,5185108011432,0.11048,0.17663,0.31180,0,
2.21777,5185108046425,0.11945,0.16903,0.31180,0,
2.23421,5185108081679,0.12944,0.17837,0.31180,0,
2.25071,5185108117051,0.13219,0.19335,0.04927,1,
2.26731,5185108152616,0.13383,0.20234,0.06586,1,
2.28371,5185108187805,0.13443,0.19546,0.08228,1,
2.29980,5185108222283,0.13279,0.19501,0.09837,1,
2.31657,5185108258238,0.13119,0.19350,0.11514,1,
2.33289,5185108293197,0.13115,0.18863,0.13145,1,
2.34930,5185108328376,0.13238,0.18738,0.14787,1,
2.36589,5185108363914,0.13309,0.18538,0.16444,1,
2.38203,5185108398519,0.13072,0.18278,0.18059,1,
2.39831,5185108433421,0.13214,0.18217,0.19687,1,
2.41565,5185108470593,0.13356,0.18230,0.21421,1,
2.43140,5185108504381,0.13299,0.18069,0.22997,1,
2.44799,5185108539904,0.13386,0.18186,0.24654,1,
2.46402,5185108574279,0.13493,0.18390,0.26258,1,
2.48045,5185108609496,0.13206,0.18669,0.27901,1,
2.49834,5185108647834,0.13068,0.18762,0.29690,1,
2.51337,5185108680066,0.12932,0.18805,0.31194,1,
2.53017,5185108716092,0.12783,0.18727,0.32874,1,
2.54639,5185108750829,0.12531,0.18702,0.34495,1,
2.56284,5185108786083,0.12284,0.18631,0.36140,1,
2.57914,5185108821033,0.12066,0.18607,0.37770,1,
2.59575,5185108856633,0.11966,0.18796,0.39431,1,
2.61200,5185108891464,0.11899,0.19044,0.41056,1,
2.62881,5185108927516,0.11760,0.19134,0.42738,1,
2.64508,5185108962352,0.09555,0.20665,0.42738,0,
2.66222,5185108999101,0.10779,0.22522,0.42738,0,
2.67776,5185109032428,0.11535,0.24219,0.42738,0,
2.69424,5185109067779,0.11753,0.25328,0.04918,1,
2.71074,5185109103104,0.11978,0.26265,0.06567,1,
2.72712,5185109138222,0.11797,0.26743,0.08205,1,
2.74461,5185109175711,0.11731,0.27427,0.09953,1,
2.76001,5185109208717,0.11704,0.28003,0.11494,1,
2.77631,5185109243687,0.11775,0.28050,0.13125,1,
2.79285,5185109279122,0.11633,0.28036,0.14778,1,
2.80944,5185109314678,0.11482,0.27927,0.16437,1,
2.82578,5185109349695,0.11468,0.27683,0.18070,1,
2.84240,5185109385320,0.11630,0.27770,0.19733,1,
2.85857,5185109420003,0.11768,0.27846,0.21351,1,
2.87479,5185109454745,0.11940,0.27807,0.22971,1,
2.89146,5185109490471,0.12083,0.27753,0.24638,1,
2.90786,5185109525638,0.12193,0.27657,0.26279,1,
