TIME,TIMETICK,FPOGX,FPOGY,FPOGD,FPOGV,
0.52344,5519164076152,0.36138,-0.05121,0.44531,1,
0.92969,5519164956017,0.20144,0.98143,0.34375,1,
1.77344,5519166752515,0.21502,0.93706,0.82813,1,
2.07813,5519167420959,0.04333,0.35759,0.24219,1,
2.37500,5519168055661,0.04789,0.27530,0.27344,1,
2.86719,5519169111252,0.10308,0.12782,0.27344,1,
3.34375,5519170132492,0.02844,0.29965,0.40625,1,
3.65625,5519170802290,0.04090,0.41908,0.28906,1,
4.14844,5519171858079,0.06413,0.44361,0.47656,1,
4.53125,5519172672158,0.08946,0.45751,0.35938,1,
5.28906,5519174287852,0.04543,0.56157,0.74219,1,
5.78125,5519175344685,0.02919,0.66434,0.47656,1,
6.32031,5519176506359,0.06192,0.44915,0.47656,1,
6.63281,5519177175876,0.87667,0.85438,0.24219,1,
7.40625,5519178830268,0.93365,0.88487,0.75781,1,
7.61719,5519179288996,0.85944,0.80713,0.19531,1,
8.09375,5519180309894,0.06261,0.21150,0.40625,1,
8.37500,5519180909013,0.08066,0.20775,0.26563,1,
8.71875,5519181647738,0.07548,0.22211,0.32813,1,
9.35938,5519183021628,0.05248,0.37504,0.57813,1,
9.65625,5519183655511,0.04992,0.36557,0.28125,1,
10.17969,5519184782362,0.06025,0.46534,0.50781,1,
10.44531,5519185346024,0.04168,0.48169,0.25000,1,
10.93750,5519186401555,0.02534,0.54778,0.47656,1,
11.17969,5519186930226,0.01580,0.62829,0.22656,1,
11.35156,5519187283033,0.03811,0.71725,0.14844,1,
11.89063,5519188444378,0.08424,0.21711,0.32813,1,
12.41406,5519189570916,0.04532,0.43072,0.46094,1,
13.05469,5519190944610,0.04892,0.36094,0.62500,1,
13.76563,5519192458468,0.02623,0.53056,0.64063,1,
14.32031,5519193656335,0.04940,0.68597,0.49219,1,
14.55469,5519194148646,0.04937,0.47888,0.21875,1,
14.94531,5519194993773,0.05004,0.41787,0.37500,1,
15.61719,5519196442115,0.05380,0.41329,0.35938,1,
16.21094,5519197706316,0.03171,0.53446,0.52344,1,
16.71875,5519198797681,0.93446,0.81461,0.39063,1,
16.92969,5519199255149,0.91377,0.65619,0.19531,1,
17.11719,5519199646536,0.69669,0.33464,0.11719,1,
17.62500,5519200734104,0.06594,0.36669,0.39844,1,
17.95313,5519201438859,0.08986,0.30704,0.31250,1,
18.32813,5519202248289,0.03674,0.50829,0.31250,1,
18.62500,5519202884055,0.90288,0.94491,0.17969,1,
19.21875,5519204149623,0.06486,0.22548,0.32813,1,
19.60938,5519204995413,0.04651,0.29849,0.32813,1,
19.85938,5519205524451,0.05658,0.23856,0.23438,1,
20.84375,5519207636634,0.07676,0.19201,0.67188,1,
21.46875,5519208974097,0.03419,0.54915,0.56250,1,
21.76563,5519209608765,0.06657,0.27257,0.23438,1,
22.22656,5519210596005,0.06718,0.26481,0.44531,1,
23.10938,5519212495564,0.05431,0.33091,0.86719,1,
23.40625,5519213130065,0.04464,0.55210,0.22656,1,
24.31250,5519215066477,0.91063,0.86664,0.78906,1,
24.68750,5519215876897,0.09760,0.24035,0.26563,1,
24.89844,5519216333890,0.23932,0.28363,0.19531,1,
25.23438,5519217041068,0.91961,0.87487,0.26563,1,
25.67188,5519217989627,0.89382,0.85178,0.42188,1,
26.05469,5519218799055,0.11113,0.22993,0.31250,1,
26.54688,5519219855852,0.14290,0.20728,0.47656,1,
26.78906,5519220384068,0.21069,0.12628,0.22656,1,
27.23438,5519221335209,0.29758,0.13042,0.42969,1,
27.66406,5519222250241,0.33771,0.13911,0.41406,1,
27.95313,5519222883751,0.34876,0.10495,0.27344,1,
28.84375,5519224785699,0.37699,0.10096,0.86719,1,
29.30469,5519225771961,0.37063,0.09833,0.44531,1,
29.61719,5519226441106,0.35741,0.10391,0.29688,1,
30.07813,5519227429490,0.03942,0.44997,0.39844,1,
30.58594,5519228518650,0.03107,0.47562,0.49219,1,
30.96875,5519229332278,0.11358,0.28767,0.32031,1,
31.27344,5519229997845,0.18158,0.24142,0.29688,1,
31.61719,5519230736907,0.27493,0.19056,0.32813,1,
32.06250,5519231687338,0.03455,0.41037,0.37500,1,
32.39063,5519232392335,0.04646,0.44208,0.31250,1,
32.85156,5519233378207,0.05687,0.38411,0.44531,1,
32.93750,5519233554404,0.14146,0.40340,0.07031,1,
33.26563,5519234259507,0.88465,0.94045,0.21875,1,
34.03906,5519235913791,0.03880,0.44471,0.51563,1,
34.56250,5519237040336,0.06183,0.43929,0.50781,1,
34.78906,5519237535878,0.02536,0.51229,0.21094,1,
35.26563,5519238554948,0.05649,0.58675,0.46094,1,
35.67969,5519239435323,0.04023,0.65685,0.39844,1,
36.00781,5519240139306,0.06861,0.30402,0.26563,1,
36.41406,5519241019357,0.07081,0.25955,0.39063,1,
36.81250,5519241865230,0.06701,0.20949,0.37500,1,
37.22656,5519242745174,0.11931,0.23105,0.39844,1,
38.04688,5519244510259,0.05454,0.33308,0.75781,1,
38.34375,5519245139704,0.04859,0.33980,0.28125,1,
38.60156,5519245705036,0.06397,0.37722,0.24219,1,
39.28906,5519247181996,0.07506,0.33062,0.67188,1,
40.11719,5519248943314,0.07952,0.29177,0.80469,1,
40.86719,5519250562645,0.04707,0.40898,0.43750,1,
41.52344,5519251971346,0.03974,0.42142,0.64063,1,
41.92188,5519252816858,0.07549,0.41182,0.37500,1,
42.32031,5519253663323,0.03698,0.47778,0.38281,1,
43.05469,5519255246295,0.09185,0.40127,0.71875,1,
44.02344,5519257323820,0.03656,0.53519,0.95313,1,
44.39844,5519258134060,0.03761,0.51431,0.35938,1,
44.87500,5519259154944,0.10029,0.14911,0.40625,1,
45.06250,5519259542632,0.14286,0.13146,0.16406,1,
45.55469,5519260598988,0.04610,0.47161,0.23438,1,
46.16406,5519261905340,0.08348,0.18149,0.54688,1,
46.40625,5519262430082,0.05533,0.19556,0.22656,1,
46.94531,5519263591654,0.04726,0.38895,0.47656,1,
47.22656,5519264190911,0.06012,0.51863,0.25781,1,
47.89844,5519265634259,0.06937,0.60308,0.65625,1,
48.25000,5519266374188,0.08836,0.64484,0.33594,1,
48.52344,5519266972813,0.05366,0.64901,0.25781,1,
48.82031,5519267606151,0.07737,0.45060,0.22656,1,
49.20313,5519268416644,0.06507,0.39953,0.36719,1,
49.67969,5519269438091,0.07035,0.34149,0.46094,1,
50.02344,5519270177621,0.06436,0.32243,0.32813,1,
50.78125,5519271799958,0.04252,0.65504,0.50000,1,
51.32031,5519272958464,0.06717,0.68992,0.53125,1,
51.72656,5519273841088,0.88770,0.87828,0.29688,1,
51.99219,5519274403232,0.92983,0.89975,0.25000,1,
52.54688,5519275599554,0.09327,0.21012,0.24219,1,
52.84375,5519276234028,0.11076,0.18977,0.27344,1,
53.27344,5519277149556,0.18228,0.12751,0.40625,1,
53.57031,5519277783298,0.25713,0.06438,0.28125,1,
54.00000,5519278699463,0.02533,0.51480,0.31250,1,
54.45313,5519279684727,0.03205,0.60312,0.43750,1,
54.85156,5519280530006,0.01871,0.46062,0.37500,1,
55.53906,5519282009657,0.02082,0.40291,0.67188,1,
56.07031,5519283136715,0.02782,0.36098,0.51563,1,
56.17969,5519283382230,0.11747,0.47958,0.09375,1,
56.74219,5519284580907,0.89461,0.86248,0.49219,1,
57.25000,5519285671215,0.11740,0.16176,0.25000,1,
57.53125,5519286274869,0.09250,0.16381,0.26563,1,
