TIME(2019/11/15 15:04:25.869),TIMETICK(f=2143473),FPOGX,FPOGY,FPOGD,FPOGV,
0.50879,382368343300,0.42075,0.14566,0.50879,1,
0.91992,382369225056,0.23224,0.90056,0.29639,1,
1.28125,382369999412,0.18283,0.95382,0.34521,1,
1.69238,382370881214,0.13286,0.95692,0.39453,1,
1.90674,382371340030,0.23172,0.81245,0.19824,1,
2.22021,382372012597,0.37993,0.33446,0.24805,1,
2.56494,382372750907,0.25415,0.26950,0.32813,1,
3.66260,382375104160,0.24880,0.23593,1.08447,1,
4.44287,382376776779,0.32480,0.22961,0.76318,1,
5.47119,382378980719,0.26005,0.24461,1.01904,1,
6.14355,382380421927,0.31864,0.27451,0.65674,1,
6.53809,382381267135,0.33446,0.21777,0.37793,1,
6.88281,382382006157,0.31947,0.21337,0.32861,1,
7.09619,382382463626,0.31058,0.17696,0.19629,1,
7.64551,382383641107,0.28134,0.30076,0.23682,1,
8.25879,382384955532,0.25908,0.28677,0.60254,1,
8.56006,382385600969,0.26054,0.16690,0.29150,1,
9.21729,382387010208,0.23278,0.18079,0.63818,1,
10.05566,382388806858,0.24300,0.25623,0.81641,1,
11.03955,382390915713,0.32271,0.27074,0.94922,1,
11.77881,382392500614,0.38854,0.25449,0.72314,1,
12.02539,382393029218,0.34388,0.28644,0.23047,1,
12.45996,382393960505,0.25703,0.31170,0.41846,1,
12.84668,382394789965,0.29934,0.35644,0.37207,1,
13.48877,382396165438,0.32858,0.32736,0.62549,1,
13.83203,382396902130,0.31989,0.31798,0.32764,1,
14.32520,382397959304,0.25034,0.35604,0.22900,1,
15.12988,382399684038,0.22525,0.35416,0.78760,1,
15.83643,382401197805,0.23679,0.43977,0.68896,1,
16.18408,382401943618,0.23662,0.14407,0.28125,1,
16.70801,382403066363,0.24851,0.19412,0.50977,1,
17.05322,382403806340,0.22585,0.20088,0.32715,1,
17.56152,382404896183,0.26715,0.22744,0.49219,1,
17.87451,382405567157,0.25619,0.16004,0.29639,1,
17.96045,382405750597,0.27612,0.12733,0.06982,1,
18.39893,382406690554,0.27384,0.11950,0.13037,1,
18.58057,382407079626,0.24724,0.12469,0.06445,1,
18.73242,382407405736,0.23894,0.09139,0.13428,1,
18.92529,382407818656,0.27530,0.15212,0.08154,1,
22.58887,382415671898,0.22721,0.20928,0.34521,1,
22.67236,382415850483,0.24917,0.25240,0.06689,1,
23.64063,382417926281,0.24721,0.24049,0.75391,1,
24.01123,382418720757,0.24498,0.19066,0.35498,1,
24.52881,382419829758,0.29969,0.23610,0.49951,1,
24.95459,382420742666,0.33177,0.23260,0.40967,1,
25.52979,382421975779,0.38242,0.22947,0.55859,1,
25.80859,382422573271,0.40971,0.20856,0.26221,1,
26.12109,382423243065,0.38005,0.23915,0.29639,1,
26.51563,382424088853,0.23705,0.34164,0.32910,1,
26.92529,382424967082,0.22027,0.23474,0.34277,1,
27.22119,382425601354,0.22115,0.13420,0.22998,1,
27.71729,382426663873,0.25363,0.18973,0.47949,1,
28.30566,382427925615,0.25072,0.28801,0.57275,1,
29.04590,382429512579,0.30912,0.26832,0.72217,1,
29.83350,382431199959,0.38346,0.25922,0.77148,1,
30.06592,382431698735,0.31460,0.25113,0.21582,1,
30.75781,382433181802,0.24565,0.29265,0.67334,1,
31.42871,382434619299,0.24757,0.29031,0.65674,1,
31.98730,382435817368,0.27854,0.29119,0.54297,1,
32.31494,382436519812,0.26314,0.27714,0.31201,1,
33.41602,382438879162,0.31498,0.29561,1.08496,1,
34.20313,382440567068,0.36300,0.29002,0.77002,1,
34.77930,382441801901,0.39498,0.29074,0.55957,1,
35.02637,382442330880,0.35265,0.26717,0.23096,1,
35.89600,382444194723,0.25024,0.26667,0.85400,1,
36.60547,382445715778,0.28492,0.23605,0.69238,1,
37.61035,382447870007,0.35960,0.32675,0.99072,1,
37.88379,382448455673,0.31880,0.23678,0.25928,1,
38.59131,382449972245,0.24344,0.26400,0.69141,1,
39.34619,382451590594,0.26692,0.33164,0.73828,1,
40.59424,382454265943,0.33415,0.30150,1.22949,1,
41.02148,382455181771,0.37660,0.28716,0.41113,1,
41.59668,382456414995,0.25271,0.34977,0.50879,1,
42.22656,382457764498,0.29143,0.33989,0.61279,1,
42.61621,382458599596,0.32357,0.32300,0.37402,1,
42.94482,382459304304,0.32749,0.34148,0.31152,1,
