TIME(2019/11/15 15:12:00.017),TIMETICK(f=2143473),FPOGX,FPOGY,FPOGD,FPOGV,
0.00000,383340720088,0.40254,0.13553,0.00000,1,
0.01660,383340754670,0.40085,0.13576,0.01660,1,
0.03320,383340790234,0.39976,0.13542,0.03321,1,
0.04980,383340826427,0.39884,0.13603,0.04981,1,
0.06689,383340862770,0.39804,0.13698,0.06690,1,
0.08203,383340895873,0.39807,0.13725,0.08203,1,
0.09863,383340930465,0.39881,0.13761,0.09863,1,
0.11475,383340965713,0.39949,0.13794,0.11475,1,
0.13086,383341000480,0.40018,0.13825,0.13086,1,
0.14795,383341036446,0.39939,0.13844,0.14795,1,
0.16406,383341071290,0.39864,0.13831,0.16406,1,
0.18115,383341107839,0.39852,0.13794,0.18115,1,
0.19727,383341142240,0.39873,0.13777,0.19727,1,
0.21387,383341178261,0.39893,0.13761,0.21387,1,
0.22949,383341211938,0.39921,0.13745,0.22949,1,
0.24658,383341247746,0.39945,0.13722,0.24658,1,
0.26611,383341289997,0.39967,0.13700,0.26612,1,
0.27930,383341318122,0.39955,0.13688,0.27930,1,
0.29590,383341353949,0.39932,0.13670,0.29590,1,
0.31201,383341388413,0.39912,0.13666,0.31201,1,
0.32861,383341423879,0.39858,0.13746,0.32862,1,
0.34473,383341458597,0.39887,0.13844,0.34473,1,
0.36133,383341493625,0.39914,0.13932,0.36133,1,
0.37793,383341530015,0.39950,0.13968,0.37793,1,
0.39502,383341565982,0.39973,0.13972,0.39502,1,
0.41064,383341599479,0.39992,0.13935,0.41065,1,
0.42676,383341634235,0.40026,0.13886,0.42676,1,
0.44336,383341669535,0.40184,0.14025,0.44336,1,
0.45996,383341705335,0.40336,0.14168,0.45996,1,
0.47607,383341740279,0.40512,0.14326,0.47608,1,
0.49805,383341787329,0.42850,0.16992,0.47608,0,
0.51270,383341819013,0.45842,0.20687,0.47608,0,
0.52832,383341851707,0.47040,0.21146,0.47608,0,
