TIME(2019/11/15 15:12:00.017),TIMETICK(f=2143473),FPOGX,FPOGY,FPOGD,FPOGV,
0.47607,383341740279,0.40512,0.14326,0.47608,1,
0.80518,383342445235,0.48232,0.25554,0.30713,1,
2.12109,383345266145,0.19753,0.90077,1.25098,1,
2.66260,383346426827,0.17541,0.87202,0.52490,1,
3.18750,383347551610,0.31540,0.29834,0.45996,1,
3.86084,383348995339,0.27632,0.26374,0.39844,1,
4.30420,383349945105,0.32471,0.21368,0.42725,1,
5.68457,383352904585,0.21335,0.18932,0.37646,1,
6.16064,383353924485,0.24784,0.25648,0.45996,1,
6.44043,383354524154,0.28557,0.21732,0.26318,1,
6.85205,383355406615,0.29668,0.21041,0.39551,1,
7.13037,383356002805,0.31656,0.25618,0.26270,1,
7.39355,383356567089,0.33065,0.19367,0.24658,1,
7.88672,383357624267,0.26938,0.30549,0.42773,1,
8.64209,383359243189,0.33305,0.27077,0.73877,1,
9.56152,383361214379,0.27130,0.31986,0.70508,1,
10.10449,383362378305,0.34172,0.27621,0.52686,1,
10.71143,383363679173,0.38196,0.26626,0.59131,1,
11.15576,383364631769,0.40194,0.24692,0.42822,1,
11.96045,383366356527,0.26333,0.32362,0.73730,1,
13.22510,383369067421,0.26333,0.35002,0.90234,1,
14.14502,383371039015,0.26902,0.33878,0.90381,1,
14.67139,383372166881,0.32068,0.34833,0.51025,1,
15.85352,383374700836,0.32652,0.32342,1.16504,1,
16.14893,383375334501,0.30878,0.30844,0.27588,1,
16.76221,383376649358,0.27561,0.27221,0.59668,1,
18.15430,383379632447,0.33874,0.26316,1.37988,1,
19.30469,383382098782,0.24764,0.28726,1.13379,1,
20.07617,383383752440,0.26391,0.32706,0.75488,1,
20.60156,383384877941,0.34059,0.24839,0.45996,1,
22.44385,383388826999,0.25928,0.32514,1.82617,1,
23.32861,383390723482,0.28667,0.28210,0.86816,1,
23.77539,383391681156,0.33062,0.26577,0.43018,1,
24.15430,383392494082,0.26113,0.31705,0.36523,1,
25.20215,383394739392,0.25913,0.32757,0.78906,1,
25.61182,383395617588,0.25008,0.41355,0.39307,1,
26.25342,383396992756,0.25411,0.31334,0.62500,1,
26.58154,383397696569,0.23785,0.35632,0.30859,1,
27.28857,383399211850,0.23976,0.39864,0.69092,1,
27.70020,383400093782,0.26523,0.26727,0.34619,1,
28.70166,383402240975,0.30897,0.24408,0.73730,1,
29.11133,383403119033,0.36090,0.24134,0.39355,1,
29.62109,383404211094,0.40916,0.23080,0.49268,1,
29.81934,383404636055,0.28578,0.24901,0.12842,1,
30.73779,383406605250,0.29583,0.27165,0.65723,1,
31.47705,383408189683,0.34958,0.25774,0.72314,1,
31.87158,383409035577,0.39894,0.24223,0.37793,1,
32.41357,383410197076,0.41692,0.25551,0.52441,1,
32.82471,383411077930,0.26865,0.29279,0.34521,1,
34.15820,383413936925,0.29424,0.29301,1.06445,1,
35.24268,383416260917,0.34555,0.28427,1.06885,1,
35.49561,383416803395,0.31145,0.29832,0.23682,1,
36.30713,383418542932,0.27796,0.31532,0.80469,1,
36.96484,383419952766,0.32553,0.28580,0.64111,1,
37.65625,383421434770,0.38263,0.28800,0.67529,1,
37.85254,383421855749,0.26409,0.27576,0.13232,1,
38.72314,383423721606,0.32560,0.31712,0.60303,1,
39.11768,383424567588,0.37425,0.31452,0.37695,1,
39.42871,383425234369,0.36311,0.30699,0.29443,1,
39.89111,383426225430,0.25997,0.35675,0.44629,1,
40.48193,383427491297,0.28939,0.42161,0.57373,1,
41.16992,383428966007,0.25056,0.30686,0.67188,1,
42.10645,383430974092,0.28050,0.25675,0.62354,1,
42.66504,383432170901,0.33439,0.22003,0.54199,1,
43.50488,383433971466,0.39482,0.21822,0.82324,1,
44.20947,383435481858,0.41136,0.22001,0.68750,1,
44.40820,383435907808,0.27171,0.26203,0.13184,1,
45.16699,383437534032,0.30114,0.26944,0.54150,1,
45.62695,383438519654,0.34442,0.28357,0.44727,1,
45.80859,383438909013,0.37932,0.26490,0.17480,1,
46.62549,383440660332,0.41912,0.25244,0.59912,1,
47.32373,383442156447,0.46915,0.23113,0.68213,1,
47.92578,383443446934,0.30589,0.29692,0.54248,1,
48.92432,383445587884,0.31711,0.23758,0.64063,1,
49.28613,383446362899,0.31439,0.25063,0.34521,1,
49.77881,383447419352,0.27365,0.26361,0.47607,1,
50.66553,383449319811,0.31215,0.25711,0.62402,1,
51.50488,383451118705,0.33864,0.25676,0.82275,1,
52.86768,383454039696,0.33773,0.25675,1.09961,1,
53.56250,383455529672,0.30686,0.28500,0.67627,1,
53.96875,383456400127,0.33743,0.29064,0.39160,1,
54.60889,383457772523,0.34220,0.28421,0.62207,1,
54.98633,383458581125,0.40870,0.25479,0.36084,1,
55.23340,383459110858,0.35552,0.25842,0.23047,1,
55.62695,383459954771,0.27365,0.32799,0.37744,1,
56.41797,383461649747,0.29984,0.32189,0.57568,1,
56.94238,383462774490,0.27488,0.31721,0.51025,1,
58.25586,383465589734,0.36625,0.33596,1.29688,1,
58.48633,383466083607,0.42222,0.35680,0.21387,1,
59.11035,383467420866,0.45172,0.27048,0.36035,1,
59.42236,383468090197,0.36341,0.24367,0.29590,1,
59.98145,383469288693,0.33998,0.30777,0.54199,1,
60.26123,383469887761,0.42053,0.27598,0.26318,1,
60.60645,383470627761,0.44953,0.28060,0.32813,1,
61.09961,383471685148,0.31257,0.38804,0.42822,1,
61.44287,383472421049,0.39581,0.30246,0.32129,1,
62.26611,383474185639,0.36242,0.26112,0.55811,1,
62.97070,383475696036,0.36047,0.28466,0.68848,1,
63.38184,383476576937,0.45136,0.26824,0.39453,1,
63.77588,383477420932,0.44170,0.23795,0.37793,1,
64.33496,383478619824,0.40238,0.24821,0.54248,1,
64.71240,383479428690,0.29138,0.39821,0.31104,1,
65.41992,383480945876,0.27541,0.28003,0.64160,1,
66.14209,383482493740,0.29768,0.24570,0.50830,1,
66.63477,383483549697,0.36738,0.24184,0.47705,1,
67.12744,383484605941,0.42050,0.20157,0.47656,1,
67.65332,383485732586,0.44283,0.21776,0.26270,1,
68.54053,383487634217,0.50545,0.20987,0.87012,1,
69.31299,383489290571,0.54965,0.18694,0.75586,1,
69.82275,383490382843,0.59723,0.18601,0.49365,1,
70.49561,383491825114,0.65933,0.20320,0.40479,1,
71.38281,383493726310,0.28903,0.27797,0.82031,1,
71.86035,383494750150,0.34505,0.26806,0.47510,1,
72.30566,383495705036,0.35149,0.26565,0.42871,1,
72.81494,383496796333,0.28689,0.30654,0.49365,1,
73.28857,383497811569,0.29229,0.32361,0.25879,1,
74.02734,383499395623,0.27225,0.33020,0.72168,1,
74.43945,383500278009,0.30045,0.33341,0.39551,1,
74.96533,383501405285,0.30151,0.33957,0.51025,1,
75.34229,383502213729,0.31966,0.31063,0.35986,1,
75.70361,383502987978,0.28233,0.29630,0.34424,1,
76.59082,383504889592,0.34402,0.26740,0.67188,1,
77.01758,383505804235,0.42424,0.20885,0.41064,1,
77.57617,383507002414,0.47431,0.20438,0.54248,1,
78.38135,383508727492,0.28432,0.28328,0.73975,1,
78.82471,383509678206,0.31848,0.27519,0.42725,1,
78.97363,383509997132,0.30271,0.31114,0.13232,1,
80.02393,383512248825,0.27885,0.31036,0.78809,1,
80.51660,383513304845,0.30221,0.30070,0.47607,1,
80.97656,383514290773,0.29723,0.32704,0.44336,1,
81.66650,383515769832,0.29428,0.32325,0.67334,1,
81.99512,383516474300,0.27913,0.30995,0.31201,1,
82.73438,383518058577,0.34142,0.29880,0.72266,1,
83.09619,383518833973,0.31587,0.31606,0.34521,1,
83.42480,383519538381,0.28895,0.36411,0.31201,1,
83.65430,383520030501,0.29524,0.29973,0.21289,1,
84.27930,383521369937,0.29329,0.27140,0.60840,1,
84.82129,383522532204,0.27197,0.32620,0.27783,1,
85.08398,383523094760,0.31868,0.34093,0.24609,1,
85.52783,383524045889,0.32038,0.30608,0.42773,1,
85.92236,383524891376,0.29337,0.38636,0.37549,1,
86.47998,383526087294,0.27095,0.29876,0.54150,1,
86.71289,383526586670,0.25624,0.25647,0.21582,1,
87.33447,383527918689,0.30614,0.26616,0.40869,1,
87.92627,383529187031,0.32224,0.24991,0.57520,1,
88.35352,383530103306,0.35414,0.24245,0.41113,1,
89.02734,383531547370,0.38230,0.22742,0.65723,1,
89.75000,383533095768,0.39787,0.25151,0.50684,1,
90.35791,383534399575,0.28285,0.28524,0.59180,1,
90.89990,383535561101,0.32878,0.26698,0.32715,1,
91.50781,383536864310,0.37042,0.26880,0.59180,1,
91.95117,383537814742,0.43282,0.24973,0.42725,1,
92.39502,383538765775,0.44701,0.27049,0.42725,1,
93.26709,383540635041,0.32322,0.30430,0.50977,1,
93.62695,383541405943,0.32776,0.29105,0.34424,1,
94.74463,383543801969,0.27296,0.31959,1.10156,1,
95.12305,383544613445,0.32459,0.29419,0.36133,1,
96.10986,383546728075,0.36995,0.28689,0.72461,1,
96.45313,383547464099,0.44712,0.26410,0.32568,1,
96.78125,383548167050,0.50735,0.24925,0.31055,1,
97.01074,383548659869,0.44286,0.27843,0.21240,1,
97.38916,383549470594,0.29501,0.31275,0.31250,1,
98.26074,383551338511,0.35627,0.31127,0.60889,1,
98.77100,383552432943,0.41039,0.30750,0.49121,1,
99.34570,383553664011,0.46344,0.29348,0.55664,1,
99.62354,383554259675,0.39563,0.32876,0.26270,1,
100.56152,383556270483,0.29851,0.40919,0.91943,1,
101.10205,383557429083,0.26726,0.32427,0.52490,1,
101.28662,383557824763,0.47153,0.43661,0.11914,1,
102.10449,383559577996,0.50470,0.52193,0.55859,1,
103.00830,383561514968,0.48010,0.54183,0.88770,1,
103.76367,383563134199,0.49779,0.50602,0.48535,1,
104.23975,383564154601,0.45702,0.31905,0.41064,1,
105.32959,383566490571,0.48245,0.51719,1.02295,1,
105.61670,383567106054,0.29031,0.31800,0.21094,1,
105.86133,383567630610,0.38137,0.20778,0.19775,1,
106.19580,383568347489,0.52026,0.26088,0.27832,1,
106.72119,383569473732,0.54311,0.21455,0.50684,1,
107.08203,383570246492,0.50411,0.34129,0.29492,1,
108.39746,383573066816,0.61814,1.23921,0.06299,1,
